epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5455,2.92544,18.9098,1.31155,0.58802,0.53147,0.52218,0.19953,2.15819,1.31967,1.07181,0.000235385,0.000235385,0.000235385
2,60.0988,2.15679,1.59186,1.04751,0.72801,0.62238,0.68375,0.25834,2.08454,1.32691,1.05145,0.000468698,0.000468698,0.000468698
3,78.8948,2.02171,1.33201,1.01914,0.68665,0.63077,0.6731,0.26178,1.95571,1.36753,1.03322,0.000697299,0.000697299,0.000697299
4,97.9603,2.00583,1.21974,1.0315,0.72492,0.59301,0.67283,0.26753,1.99808,1.20345,1.03069,0.000692794,0.000692794,0.000692794
5,115.966,1.94433,1.17055,1.00138,0.72202,0.66573,0.70675,0.27139,2.02455,1.11472,1.03903,0.000685726,0.000685726,0.000685726
6,133.897,1.93203,1.135,1.01219,0.77049,0.6951,0.75547,0.30734,1.89404,1.02505,1.01923,0.000678657,0.000678657,0.000678657
7,151.781,1.92804,1.10953,0.99894,0.80199,0.68112,0.76668,0.31964,1.86425,0.95592,1.00957,0.000671588,0.000671588,0.000671588
8,169.635,1.90792,1.09874,0.99368,0.83641,0.7035,0.77497,0.33406,1.83434,0.96852,1.01034,0.00066452,0.00066452,0.00066452
9,187.726,1.88903,1.0347,0.98668,0.85574,0.73986,0.80744,0.34178,1.83706,0.9644,1.01153,0.000657451,0.000657451,0.000657451
10,205.71,1.90146,1.04724,0.99348,0.80814,0.73427,0.77707,0.33436,1.81189,0.95352,1.00974,0.000650383,0.000650383,0.000650383
11,223.835,1.86667,1.0491,0.98567,0.83899,0.66713,0.77234,0.32765,1.89082,1.00681,1.01475,0.000643314,0.000643314,0.000643314
12,243.323,1.84534,1.01596,0.97223,0.80015,0.73846,0.79358,0.33891,1.84887,0.98486,1.00308,0.000636245,0.000636245,0.000636245
